nombre;grupo;profesor;comunidad;genero;edad;edadmalumnos;materias;modalidad;movil;a;b;c;d;e;f;g;h;i;j;k;l;m;no;p;q;r;s;tu;v;w;x;y;z;aa;ab;ac;ad;ae;af;ag;ah;ai;aj;ak;al
115;Grupo 1;No soy profesor;Fuera de España;Hombre;48;16;Tecnología, Informática, Matemáticas, Geografía e historia, Religión, Física y química, Otras ...;Presencial, Online, Mixta;Sí;Sí;Sí;en las clases de historia, participamos como escuela en un proyecto de desarrollo móvil a través de etiquetas QR y geolocalización, en geografía para determinar la localización de hitos geográficos, en tecnología se ocupan tabletas para el desarrollo de encuestas on-line.;Sí, siempre;Sí, siempre;5;5;5;5;5;3;5;1;1;5;5;1;1;1;1;5;3;1;1;1;3;1;1;1;1;1;1;2;El móvil puede utilizarse en todo momento, El móvil puede utilizarse en los descansos;Ministerio de Educación;11
116;Grupo 3;Primaria;Extremadura;Mujer;29;12;Matemáticas, Lengua y literatura;Presencial;Sí;Sí;No;En mi actividad docente utilizo el móvil para acceder a Rayuela una plataforma para la completa gestión y comunicación de los centros de Extremadura. A través de dicha plataforma puedo comunicarme con el resto de compañeros así como con las familias indicando las faltas de asistencia, las tareas a realizar o las calificaciones de trabajos y exámenes. Con esta herramienta también puedo acceder a mi horario, consultar información de los alumnos y del centro así como establecer sus calificaciones en las diferentes evaluaciones. ;Sí, siempre;Sí, siempre;1;4;5;2;4;4;2;3;2;4;4;5;4;4;4;3;4;5;4;4;5;4;4;4;5;5;5;5;El uso del móvil está prohibido al alumnado;Comunidad autónoma;15
117;Grupo 1;Primaria;Aragón;Mujer;52;9;Matemáticas, Lengua y literatura, Geografía e historia, Educación plástica, Biología y geología;Presencial;Sí;Sí;No;Ordenador, pizarra digital para desarrollar contenidos y actividades didácticas.;No;No;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;3;3;4;3;3;4;3;3;3;3;3;3;3;El uso del móvil está prohibido al alumnado;Centro escolar;16
118;Grupo 1;Formación profesional;Aragón;Mujer;52;22;Otras ...;Presencial, Online;Sí;Sí;No;Correo electrónico, agenda, traductor,  Evenote, Internet;Sí, pero solo durante la jornada laboral y el periodo lectivo;No;4;2;3;3;3;4;4;3;2;3;3;4;4;3;2;3;4;4;4;4;3;4;2;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Centro escolar;12
119;Grupo 3;Primaria;Castilla y León;Hombre;34;23;Matemáticas, Lengua y literatura;Presencial;Sí;Sí;Sí;CLASS DOJO ECONOMÍA DE FICHAS, PLICKERS CUESTIONARIOS...;Sí, siempre;Sí, siempre;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;5;5;4;5;4;5;5;4;4;5;El móvil puede utilizarse en todo momento;Ministerio de Educación;12
120;Grupo 3;Secundaria;Comunidad Valenciana;Hombre;31;15;Geografía e historia, Otras ...;Presencial;Sí;Sí;No;Plataformas de eLearning como Moodle, juegos como Kahoot,...;Sí, siempre;Sí, siempre;3;4;5;3;5;5;1;1;1;5;4;4;4;3;2;4;5;5;5;5;4;5;5;5;5;4;4;5;El uso del móvil está prohibido al alumnado;Comunidad autónoma;14
121;Grupo 3;Otros;Andalucía;Hombre;27;4;Otras ...;Presencial;Sí;Sí;No;Class Dojo para el control de la evolución del alumnado y el contacto con las familias;No;Sí, pero solo durante la jornada laboral y el periodo;1;1;1;1;1;1;1;1;1;1;1;5;5;4;5;5;4;5;5;4;5;5;4;3;4;2;4;3;El uso del móvil está prohibido al alumnado, El uso del móvil está prohibido al profesorado;Ministerio de Educación;16
122;Grupo 2;Primaria;Extremadura;Hombre;36;1;Educación física;NA (No he ejercido como docente);Sí;NA (No he ejercido como docente);NA (No he ejercido como docente);No he ejercido como docente;No;Sí, siempre;4;4;4;4;4;4;4;4;4;4;4;4;2;3;2;2;3;4;4;4;5;4;4;4;4;4;4;4;Otros ...;Profesor;12
123;Grupo 2;Secundaria;País Vasco;Hombre;31;15;Tecnología, Informática;Presencial;Sí;Sí;Sí;Additio como cuaderno digital. Classroom de Google para organizar tareas y evaluarlas.;Sí, siempre;Sí, siempre;1;4;3;3;4;3;3;3;3;3;3;5;4;4;1;5;5;4;5;4;3;5;4;4;4;5;4;5;El móvil puede utilizarse en todo momento, Otros ...;Centro escolar;14
124;Grupo 1;Primaria;Comunidad de Madrid;Mujer;32;6;Matemáticas, Lengua y literatura, Idiomas, Religión, Biología y geología;Presencial;Sí;Sí;Sí;Wasap para comunicación entre compañeros y dirección, idoceo para recogida de notas, Drive para compartir docuemntos y trabajar en documentos compartidos, libros digitales, youtube, diccionarios en línea, Classdojo, ;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;5;4;5;5;3;2;5;5;3;5;4;4;2;2;2;4;4;4;5;5;3;2;4;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;12
125;Grupo 2;Otros;Aragón;Mujer;33;4;Otras ...;Presencial;Sí;No;No;Soy maestra de infantil y en mi centro no disponemos de dispositivos móviles para esta edad.;No;Sí, pero solo durante la jornada laboral y el periodo;2;2;2;2;2;2;2;2;2;2;2;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Centro escolar;15
126;Grupo 2;Primaria;Aragón;Mujer;33;8;Matemáticas, Lengua y literatura, Idiomas, Educación física, Otras ...;Online;Sí;Sí;No;Ninguna;No;Sí, pero solo durante la jornada laboral y el periodo;2;2;4;2;4;2;2;4;2;4;3;5;5;5;4;3;4;4;3;3;4;3;3;3;4;4;3;4;El uso del móvil está prohibido al alumnado, El uso del móvil está prohibido al profesorado;Centro escolar;14
127;Grupo 2;Primaria;Aragón;Mujer;24;8;Matemáticas, Lengua y literatura, Idiomas, Religión, Educación plástica;Presencial;Sí;No;Sí;Tablet y portátil personal para organización y visualización de materiales en el aula.;Sí, siempre;Sí, siempre;2;4;4;4;4;3;2;4;3;4;4;5;4;3;3;3;4;5;5;4;5;4;4;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;12
128;Grupo 1;Primaria;Comunidad Valenciana;Mujer;29;7;Otras ...;Presencial;Sí;Sí;No;Móvil;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;1;1;4;1;4;1;1;4;1;5;1;5;4;3;2;2;2;4;4;4;3;4;4;4;4;4;4;4;El móvil puede utilizarse en todo momento, El uso del móvil está prohibido al alumnado;Centro escolar;16
129;Grupo 3;Primaria;Región de Murcia;Mujer;25;1;NA (No he ejercido como docente);NA (No he ejercido como docente);Sí;NA (No he ejercido como docente);NA (No he ejercido como docente);;No;Sí, pero solo durante la jornada laboral y el periodo;1;1;5;1;5;1;1;4;1;5;1;4;4;4;3;4;4;4;2;2;5;1;1;3;3;2;2;2;Otros ...;No debe estar regulado;14
130;Grupo 2;Secundaria;Andalucía;Mujer;33;14;Lengua y literatura;Presencial;Sí;Sí;Sí;Utilizo principalmente aplicaciones como Seneca y Pasen. Con la primera, se lleva el control de asistencia del alumno, calificaciones, conocimiento de partes, incidencias y mensajes del instituto. Con respecto a Pasen permite al docente estar en contacto con la familia e informarle sobre sus ultimas notas o faltas de asistencia. ;No;Sí, siempre;4;2;5;4;5;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Ministerio de Educación;14
131;Grupo 2;Secundaria;Andalucía;Mujer;37;14;Biología y geología, Otras ...;Presencial;Sí;Sí;Sí;iSeneca (información para las familias, ausencias, comunicación con las familias) y Additio (cuaderno de clases, evaluación vía rúbricas). Excepcionalmente otras, pero esas a diario.;Sí, siempre;Sí, siempre;3;1;4;5;3;3;2;2;3;3;3;5;5;3;4;3;4;4;4;4;4;4;3;4;5;4;4;4;El uso del móvil está prohibido al alumnado;Comunidad autónoma;15
132;Grupo 1;Otros;Extremadura;Mujer;34;4;Otras ...;Presencial;Sí;Sí;Sí;;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;2;2;4;2;4;4;2;2;2;4;4;5;5;5;4;4;4;5;5;4;4;5;4;4;5;4;4;4;El móvil puede utilizarse en todo momento;Centro escolar;4
133;Grupo 1;Secundaria;Fuera de España;Hombre;38;17;Informática, Matemáticas, Otras ...;Presencial;No;Sí;Sí;Teléfono móvil, tablet, computador portátil;Sí, siempre;Sí, siempre;5;5;5;4;4;4;4;4;4;4;4;3;5;4;2;4;4;5;5;5;2;5;5;5;4;4;5;5;El móvil puede utilizarse en los descansos;Ministerio de Educación;15
134;Grupo 1;Universidad;Comunidad de Madrid;Mujer;25;1;NA (No he ejercido como docente);NA (No he ejercido como docente);Sí;NA (No he ejercido como docente);NA (No he ejercido como docente);;Sí, siempre;Sí, siempre;3;4;4;5;4;4;4;3;2;4;4;4;4;3;3;4;4;5;5;5;5;5;5;5;5;5;5;5;Otros ...;Ministerio de Educación;10
